"league","season","stage","home_team","away_team","home_team_goal","away_team_goal","result","whh","whd","wha","sjh","sjd","sja","home_bet_avg_prct","draw_bet_avg_prct","away_bet_avg_prct","wh_prediction","sj_prediction","buildupplayspeed_h","buildupplayspeed_a","buildupplayspeedclass_h","buildupplayspeedclass_a","buildupplaydribbling_h","buildupplaydribbling_a","buildupplaypassing_h","buildupplaypassing_a","buildupplaypassingclass_h","buildupplaypassingclass_a","buildupplaypositioningclass_h","buildupplaypositioningclass_a","chancecreationpassing_h","chancecreationpassing_a","chancecreationpassingclass_h","chancecreationpassingclass_a","chancecreationcrossing_h","chancecreationcrossing_a","chancecreationcrossingclass_h","chancecreationcrossingclass_a","chancecreationshooting_h","chancecreationshooting_a","chancecreationshootingclass_h","chancecreationshootingclass_a","chancecreationpositioningclass_h","chancecreationpositioningclass_a","defencepressure_h","defencepressure_a","defencepressureclass_h","defencepressureclass_a","defenceaggression_h","defenceaggression_a","defenceaggressionclass_h","defenceaggressionclass_a","defenceteamwidth_h","defenceteamwidth_a","defenceteamwidthclass_h","defenceteamwidthclass_a","defencedefenderlineclass_h","defencedefenderlineclass_a","player_1","age_player_1","height_player_1","weight_player_1*0.45","player_2","age_player_2","height_player_2","weight_player_2*0.45","home_player_3","age_player_3","height_player_3","weight_player_3*0.45","home_player_4","age_player_4","height_player_4","weight_player_4*0.45","home_player_5","age_player_5","height_player_5","weight_player_5*0.45","home_player_6","age_player_6","height_player_6","weight_player_6*0.45","home_player_7","age_player_7","height_player_7","weight_player_7*0.45","home_player_8","age_player_8","height_player_8","weight_player_8*0.45","home_player_9","age_player_9","height_player_9","weight_player_9*0.45","home_player_10","age_player_10","height_player_10","weight_player_10*0.45","home_player_11","age_player_11","height_player_11","weight_player_11*0.45","player_1_a","age_player_1_a","height_player_1_a","weight_player_1_a*0.45","player_2_a","age_player_2_a","height_player_2_a","weight_player_2_a*0.45","home_player_3_a","age_player_3_a","height_player_3_a","weight_player_3_a*0.45","home_player_4_a","age_player_4_a","height_player_4_a","weight_player_4_a*0.45","home_player_5_a","age_player_5_a","height_player_5_a","weight_player_5_a*0.45","home_player_6_a","age_player_6_a","height_player_6_a","weight_player_6_a*0.45","home_player_7_a","age_player_7_a","height_player_7_a","weight_player_7_a*0.45","home_player_8_a","age_player_8_a","height_player_8_a","weight_player_8_a*0.45","home_player_9_a","age_player_9_a","height_player_9_a","weight_player_9_a*0.45","home_player_10_a","age_player_10_a","height_player_10_a","weight_player_10_a*0.45","home_player_11_a","age_player_11_a","height_player_11_a","weight_player_11_a*0.45"
England Premier League,"2012/2013",1,Arsenal,Sunderland,0,0,draw,1.44,4,8,1.36,4.5,9.5,71.43,23.53,11.43,home,home,59,43,Balanced,Balanced,51,43,30,51,Short,Mixed,Organised,Organised,28,59,Safe,Normal,44,50,Normal,Normal,46,55,Normal,Normal,Free Form,Organised,51,47,Medium,Medium,44,45,Press,Press,52,49,Normal,Normal,Cover,Cover,Wojciech Szczesny,22,195.58,83.25,Carl Jenkinson,20,185.42,76.5,Per Mertesacker,28,198.12,89.10000000000001,Thomas Vermaelen,27,182.88,79.2,Kieran Gibbs,23,177.8,69.3,Abou Diaby,26,193.04,75.60000000000001,Mikel Arteta,30,175.26,63.45,Santi Cazorla,28,167.64,65.7,Theo Walcott,23,175.26,67.5,Lukas Podolski,27,182.88,82.35000000000001,Gervinho,25,177.8,65.7,Simon Mignolet,24,193.04,86.4,Craig Gardner,26,175.26,80.55,Carlos Cuellar,31,190.5,83.25,John O'Shea,31,190.5,83.25,Kieran Richardson,28,175.26,68.4,Fraizer Campbell,25,172.72,82.35000000000001,Sebastian Larsson,27,177.8,69.3,Lee Cattermole,24,177.8,75.60000000000001,Jack Colback,23,175.26,69.3,James McClean,23,180.34,69.3,Stephane Sessegnon,28,167.64,74.25
England Premier League,"2012/2013",1,Everton,Manchester United,1,0,home win,4.33,3.3,1.91,4,3.5,1.91,24.01,29.41,52.36,no prediction,no prediction,43,38,Balanced,Balanced,45,42,40,44,Mixed,Mixed,Organised,Organised,39,49,Normal,Normal,33,44,Little,Normal,63,40,Normal,Normal,Organised,Organised,52,54,Medium,Medium,58,53,Press,Press,59,56,Normal,Normal,Cover,Cover,Tim Howard,33,190.5,87.3,Tony Hibbert,31,172.72,70.65,Phil Jagielka,30,182.88,82.35000000000001,Sylvain Distin,35,193.04,87.3,Leighton Baines,28,170.18,69.3,Leon Osman,31,172.72,63.45,Darron Gibson,25,180.34,79.2,Philip Neville,35,180.34,75.60000000000001,Steven Pienaar,30,170.18,65.7,Marouane Fellaini,25,193.04,84.15,Nikica Jelavic,27,187.96,83.25,David De Gea,22,193.04,81.45,Antonio Valencia,27,180.34,77.4,Nemanja Vidic,31,190.5,87.3,Michael Carrick,31,187.96,73.35000000000001,Patrice Evra,31,175.26,73.35000000000001,Paul Scholes,38,170.18,70.65,Nani,26,175.26,65.7,Wayne Rooney,27,175.26,82.35000000000001,Shinji Kagawa,23,175.26,67.5,Tom Cleverley,23,175.26,66.60000000000001,Danny Welbeck,22,185.42,72.45
England Premier League,"2012/2013",1,Fulham,Norwich City,5,0,home win,1.85,3.3,4.5,1.8,3.6,4.5,54.79,28.99,22.22,home,home,52,45,Balanced,Balanced,34,38,48,55,Mixed,Mixed,Organised,Organised,39,46,Normal,Normal,54,54,Normal,Normal,59,47,Normal,Normal,Organised,Organised,29,38,Deep,Medium,30,39,Contain,Press,39,51,Normal,Normal,Cover,Cover,Mark Schwarzer,40,193.04,94.05,Sascha Riether,29,175.26,69.3,Brede Hangeland,31,195.58,91.35000000000001,Aaron Hughes,33,182.88,69.3,John Arne Riise,32,187.96,81.45,Damien Duff,33,177.8,74.25,Mahamadou Diarra,31,182.88,81.45,Moussa Dembele,25,185.42,81.45,Alex Kacaniklic,21,180.34,71.55,Bryan Ruiz,27,187.96,77.4,Mladen Petric,31,182.88,80.55,John Ruddy,26,193.04,95.4,Russell Martin,26,182.88,72.45,Ryan Bennett,22,187.96,77.4,Michael Turner,29,193.04,89.10000000000001,Marc Tierney,27,180.34,70.65,Andrew Surman,26,177.8,72.45,Jonathan Howson,24,180.34,76.5,Bradley Johnson,25,177.8,67.5,Anthony Pilkington,24,180.34,80.55,Robert Snodgrass,25,182.88,76.5,Grant Holt,31,182.88,78.3
England Premier League,"2012/2013",1,Manchester City,Southampton,3,2,home win,1.2,6,15,1.17,7,19,84.39,16.0,5.0,home,home,59,52,Balanced,Balanced,35,31,29,46,Short,Mixed,Free Form,Organised,38,42,Normal,Normal,36,54,Normal,Normal,24,30,Little,Little,Free Form,Organised,48,50,Medium,Medium,47,65,Press,Press,54,44,Normal,Normal,Cover,Cover,Joe Hart,25,195.58,90.45,Pablo Zabaleta,27,177.8,75.60000000000001,Vincent Kompany,26,193.04,84.15,Joleon Lescott,30,187.96,88.2,Gael Clichy,27,175.26,64.35000000000001,Samir Nasri,25,175.26,74.25,Jack Rodwell,21,187.96,70.65,Yaya Toure,29,187.96,89.10000000000001,David Silva,26,170.18,66.60000000000001,Carlos Tevez,28,172.72,70.65,Sergio Aguero,24,172.72,73.35000000000001,Kelvin Davis,36,185.42,81.45,Nathaniel Clyne,21,175.26,66.60000000000001,Jose Fonte,29,187.96,80.55,Jos Hooiveld,29,193.04,82.35000000000001,Daniel Fox,26,180.34,77.4,James Ward-Prowse,18,172.72,65.7,Morgan Schneiderlin,23,180.34,74.25,Adam Lallana,24,172.72,72.45,Guilherme Do Prado,31,187.96,78.3,Jay Rodriguez,23,185.42,69.3,Jason Puncheon,26,172.72,70.65
England Premier League,"2012/2013",1,Newcastle United,Tottenham Hotspur,2,1,home win,2.7,3,2.8,2.5,3.4,2.8,38.46,31.25,35.71,no prediction,no prediction,58,47,Balanced,Balanced,45,46,49,40,Mixed,Mixed,Organised,Organised,47,41,Normal,Normal,54,41,Normal,Normal,46,63,Normal,Normal,Organised,Organised,41,63,Medium,Medium,39,54,Press,Press,51,56,Normal,Normal,Cover,Cover,Tim Krul,24,193.04,81.45,Danny Simpson,25,177.8,76.5,Steven Taylor,26,185.42,90.45,James Perch,27,180.34,79.2,Davide Santon,21,185.42,82.35000000000001,Hatem Ben Arfa,25,177.8,73.35000000000001,Cheik Tiote,26,180.34,85.5,Yohan Cabaye,26,175.26,70.65,Jonas Gutierrez,29,182.88,72.45,Papiss Cisse,27,182.88,72.45,Demba Ba,27,187.96,84.15,Brad Friedel,41,187.96,91.35000000000001,Kyle Walker,22,177.8,69.3,Younes Kaboul,26,190.5,86.4,William Gallas,35,182.88,82.35000000000001,Benoit Assou-Ekotto,28,180.34,68.4,Sandro,23,187.96,74.25,Jake Livermore,23,180.34,75.60000000000001,Aaron Lennon,25,165.1,62.550000000000004,Gylfi Sigurdsson,23,185.42,76.5,Gareth Bale,23,182.88,73.35000000000001,Jermain Defoe,30,170.18,69.3
England Premier League,"2012/2013",1,Queens Park Rangers,Swansea City,0,5,away win,2,3.3,3.8,2.1,3.3,3.6,48.78,30.3,27.03,no prediction,no prediction,30,45,Slow,Balanced,39,44,61,42,Mixed,Mixed,Organised,Organised,53,34,Normal,Normal,53,36,Normal,Normal,60,55,Normal,Normal,Organised,Free Form,50,31,Medium,Deep,44,47,Press,Press,54,42,Normal,Normal,Cover,Cover,Robert Green,32,190.5,92.25,Nedum Onuoha,26,187.96,77.4,Anton Ferdinand,27,182.88,70.65,Clint Hill,34,182.88,72.45,Fabio,22,172.72,64.35000000000001,Jamie Mackie,27,172.72,70.65,Ji-Sung Park,31,177.8,72.45,Samba Diakite,23,185.42,75.60000000000001,Junior Hoilett,22,172.72,69.3,Adel Taarabt,23,180.34,77.4,Djibril Cisse,31,182.88,84.15,Michel Vorm,29,182.88,85.5,Angel Rangel,30,180.34,81.45,Chico,25,187.96,74.25,Ashley Williams,28,182.88,90.45,Neil Taylor,23,177.8,74.25,Leon Britton,30,167.64,64.35000000000001,Jonathan De Guzman,25,172.72,69.3,Michu,26,185.42,79.2,Nathan Dyer,25,167.64,61.65,Daniel Graham,27,182.88,86.4,Wayne Routledge,27,170.18,76.5
England Premier League,"2012/2013",1,Reading,Stoke City,1,1,draw,2.4,3.3,2.9,2.4,3.2,3,41.67,30.77,33.9,no prediction,no prediction,44,48,Balanced,Balanced,36,41,64,49,Mixed,Mixed,Organised,Organised,62,51,Normal,Normal,65,59,Normal,Normal,42,49,Normal,Normal,Organised,Organised,51,44,Medium,Medium,47,37,Press,Press,52,51,Normal,Normal,Cover,Cover,Adam Federici,27,187.96,89.10000000000001,Chris Gunter,23,180.34,70.65,Alex Pearce,24,187.96,84.15,Kaspars Gorkss,31,190.5,84.15,Ian Harte,35,175.26,77.4,Jobi McAnuff,31,177.8,72.45,Danny Guthrie,25,175.26,78.3,Mikele Leigertwood,30,187.96,77.4,Hal Robson-Kanu,23,182.88,82.35000000000001,Adam Le Fondre,26,175.26,72.45,Pavel Pogrebnyak,29,187.96,90.45,Asmir Begovic,25,200.66,82.35000000000001,Andy Wilkinson,28,180.34,68.4,Ryan Shawcross,25,190.5,75.60000000000001,Robert Huth,28,190.5,87.3,Marc Wilson,25,187.96,79.2,Michael Kightly,26,172.72,70.65,Glenn Whelan,28,180.34,79.2,Dean Whitehead,30,182.88,76.5,Matthew Etherington,31,177.8,63.45,Jonathan Walters,29,182.88,78.3,Peter Crouch,31,200.66,83.25
England Premier League,"2012/2013",1,West Bromwich Albion,Liverpool,3,0,home win,3.8,3.3,2,4,3.4,1.91,25.64,29.85,51.15,no prediction,no prediction,62,66,Balanced,Balanced,32,60,51,45,Mixed,Mixed,Organised,Organised,53,34,Normal,Normal,50,34,Normal,Normal,60,46,Normal,Normal,Organised,Organised,41,51,Medium,Medium,40,52,Press,Press,49,61,Normal,Normal,Cover,Cover,Ben Foster,29,193.04,89.10000000000001,Steven Reid,31,180.34,86.4,Gareth McAuley,33,195.58,88.2,Jonas Olsson,29,193.04,83.25,Liam Ridgewell,28,187.96,78.3,James Morrison,26,177.8,63.45,Claudio Yacob,25,180.34,72.45,Youssuf Mulumbu,25,177.8,75.60000000000001,Peter Odemwingie,31,182.88,73.35000000000001,Shane Long,25,180.34,80.55,Zoltan Gera,33,182.88,74.25,Pepe Reina,30,187.96,91.35000000000001,Martin Kelly,22,190.5,76.5,Martin Skrtel,28,190.5,80.55,Daniel Agger,28,190.5,83.25,Glen Johnson,28,182.88,69.3,Joe Allen,22,167.64,61.65,Steven Gerrard,32,182.88,82.35000000000001,Lucas Leiva,25,177.8,72.45,Stewart Downing,28,180.34,64.35000000000001,Luis Suarez,25,182.88,84.15,Fabio Borini,21,180.34,73.35000000000001
England Premier League,"2012/2013",1,West Ham United,Aston Villa,1,0,home win,2.3,3.2,3.2,2.25,3.3,3.3,43.96,30.77,30.77,no prediction,no prediction,77,63,Fast,Balanced,37,37,57,54,Mixed,Mixed,Organised,Organised,68,60,Risky,Normal,73,48,Lots,Normal,29,38,Little,Normal,Organised,Organised,30,35,Deep,Medium,37,44,Press,Press,41,54,Normal,Normal,Cover,Cover,Jussi Jaaskelainen,37,190.5,79.2,Guy Demel,31,187.96,87.3,Winston Reid,24,190.5,86.4,James Collins,29,193.04,89.10000000000001,George McCartney,31,182.88,75.60000000000001,Mark Noble,25,180.34,75.60000000000001,Mohamed Diame,25,185.42,79.2,Kevin Nolan,30,182.88,87.3,Ricardo Vaz Te,26,187.96,79.2,Carlton Cole,29,190.5,87.3,Matthew Taylor,31,177.8,72.45,Shay Given,36,185.42,83.25,Matthew Lowton,23,180.34,77.4,Ron Vlaar,27,187.96,78.3,Ciaran Clark,23,187.96,75.60000000000001,Nathan Baker,21,187.96,81.45,Brett Holman,28,177.8,74.25,Karim El Ahmadi,27,185.42,77.4,Fabian Delph,23,175.26,59.4,Charles N'Zogbia,26,170.18,69.3,Stephen Ireland,26,172.72,65.7,Darren Bent,28,180.34,72.45
England Premier League,"2012/2013",1,Wigan Athletic,Chelsea,0,2,away win,5.5,3.6,1.67,6.5,4,1.53,16.67,26.32,62.5,away,away,51,67,Balanced,Fast,37,41,56,36,Mixed,Mixed,Organised,Organised,52,41,Normal,Normal,59,34,Normal,Normal,40,44,Normal,Normal,Organised,Organised,62,39,Medium,Medium,48,41,Press,Press,44,46,Normal,Normal,Cover,Cover,Ali Al-Habsi,31,193.04,78.3,Antolin Alcaraz,30,187.96,79.2,Gary Caldwell,30,180.34,73.35000000000001,Ivan Ramis,28,187.96,81.45,Emmerson Boyce,33,182.88,70.65,James McArthur,25,177.8,63.45,James McCarthy,22,180.34,71.55,Maynor Figueroa,29,180.34,84.15,Victor Moses,22,177.8,84.15,Franco Di Santo,23,193.04,87.3,Shaun Maloney,29,170.18,68.4,Petr Cech,30,195.58,89.10000000000001,Branislav Ivanovic,28,185.42,90.45,David Luiz,25,187.96,83.25,John Terry,32,187.96,89.10000000000001,Ashley Cole,32,175.26,65.7,John Obi Mikel,25,187.96,82.35000000000001,Frank Lampard,34,182.88,88.2,Eden Hazard,21,172.72,73.35000000000001,Juan Mata,24,170.18,62.550000000000004,Ryan Bertrand,23,177.8,84.15,Fernando Torres,28,185.42,77.4
